"","nom_comarca","nivell","nom_naturalesa","nom_ensenyament","edat","places ofertades","assignacions","% ocupades","dem","Curs"
"232","Baix Emporda","2","Public","Educacio primaria",7,118,12,10.2,"Catalunya","2-Educacio primaria"
"233","Baix Emporda","2","Public","Educacio secundaria obligatoria",13,59,6,10.2,"Catalunya","2-Educacio secundaria obligatoria"
"234","Baix Emporda","3","Privat","Educacio infantil 2n cicle",5,17,4,23.5,"Catalunya","3-Educacio infantil 2n cicle"
"235","Baix Emporda","3","Privat","Educacio primaria",8,22,1,4.5,"Catalunya","3-Educacio primaria"
"236","Baix Emporda","3","Privat","Educacio secundaria obligatoria",14,16,5,31.2,"Catalunya","3-Educacio secundaria obligatoria"
"237","Baix Emporda","3","Public","Educacio infantil 2n cicle",5,107,18,16.8,"Catalunya","3-Educacio infantil 2n cicle"
"238","Baix Emporda","3","Public","Educacio primaria",8,93,14,15.1,"Catalunya","3-Educacio primaria"
"239","Baix Emporda","3","Public","Educacio secundaria obligatoria",14,12,5,41.7,"Catalunya","3-Educacio secundaria obligatoria"
"240","Baix Emporda","4","Privat","Educacio primaria",9,8,4,50,"Catalunya","4-Educacio primaria"
"241","Baix Emporda","4","Privat","Educacio secundaria obligatoria",15,12,3,25,"Catalunya","4-Educacio secundaria obligatoria"
"242","Baix Emporda","4","Public","Educacio primaria",9,64,12,18.8,"Catalunya","4-Educacio primaria"
"243","Baix Emporda","4","Public","Educacio secundaria obligatoria",15,26,8,30.8,"Catalunya","4-Educacio secundaria obligatoria"
"244","Baix Emporda","5","Privat","Educacio primaria",10,4,1,25,"Catalunya","5-Educacio primaria"
"245","Baix Emporda","5","Public","Educacio primaria",10,57,8,14,"Catalunya","5-Educacio primaria"
"246","Baix Emporda","6","Privat","Educacio primaria",11,0,0,NA,"Catalunya","6-Educacio primaria"
"247","Baix Emporda","6","Public","Educacio primaria",11,53,7,13.2,"Catalunya","6-Educacio primaria"
"248","Baix Llobregat","1","Privat","Educacio infantil 2n cicle",3,2171,1699,78.3,"Catalunya","1-Educacio infantil 2n cicle"
"249","Baix Llobregat","1","Privat","Educacio primaria",6,84,29,34.5,"Catalunya","1-Educacio primaria"
"250","Baix Llobregat","1","Privat","Educacio secundaria obligatoria",12,533,491,92.1,"Catalunya","1-Educacio secundaria obligatoria"
"251","Baix Llobregat","1","Public","Educacio infantil 2n cicle",3,5745,4729,82.3,"Catalunya","1-Educacio infantil 2n cicle"
"252","Baix Llobregat","1","Public","Educacio primaria",6,320,65,20.3,"Catalunya","1-Educacio primaria"
"253","Baix Llobregat","1","Public","Educacio secundaria obligatoria",12,6787,6201,91.4,"Catalunya","1-Educacio secundaria obligatoria"
"254","Baix Llobregat","2","Privat","Educacio infantil 2n cicle",4,171,26,15.2,"Catalunya","2-Educacio infantil 2n cicle"
"255","Baix Llobregat","2","Privat","Educacio primaria",7,82,23,28,"Catalunya","2-Educacio primaria"
"256","Baix Llobregat","2","Privat","Educacio secundaria obligatoria",13,61,17,27.9,"Catalunya","2-Educacio secundaria obligatoria"
"257","Baix Llobregat","2","Public","Educacio infantil 2n cicle",4,439,84,19.1,"Catalunya","2-Educacio infantil 2n cicle"
"258","Baix Llobregat","2","Public","Educacio primaria",7,290,32,11,"Catalunya","2-Educacio primaria"
"259","Baix Llobregat","2","Public","Educacio secundaria obligatoria",13,181,52,28.7,"Catalunya","2-Educacio secundaria obligatoria"
"260","Baix Llobregat","3","Privat","Educacio infantil 2n cicle",5,168,32,19,"Catalunya","3-Educacio infantil 2n cicle"
"261","Baix Llobregat","3","Privat","Educacio primaria",8,46,20,43.5,"Catalunya","3-Educacio primaria"
"262","Baix Llobregat","3","Privat","Educacio secundaria obligatoria",14,34,15,44.1,"Catalunya","3-Educacio secundaria obligatoria"
"263","Baix Llobregat","3","Public","Educacio infantil 2n cicle",5,381,54,14.2,"Catalunya","3-Educacio infantil 2n cicle"
"264","Baix Llobregat","3","Public","Educacio primaria",8,291,51,17.5,"Catalunya","3-Educacio primaria"
"265","Baix Llobregat","3","Public","Educacio secundaria obligatoria",14,145,60,41.4,"Catalunya","3-Educacio secundaria obligatoria"
"266","Baix Llobregat","4","Privat","Educacio primaria",9,15,9,60,"Catalunya","4-Educacio primaria"
"267","Baix Llobregat","4","Privat","Educacio secundaria obligatoria",15,84,20,23.8,"Catalunya","4-Educacio secundaria obligatoria"
"268","Baix Llobregat","4","Public","Educacio primaria",9,264,36,13.6,"Catalunya","4-Educacio primaria"
"269","Baix Llobregat","4","Public","Educacio secundaria obligatoria",15,182,57,31.3,"Catalunya","4-Educacio secundaria obligatoria"
"270","Baix Llobregat","5","Privat","Educacio primaria",10,9,5,55.6,"Catalunya","5-Educacio primaria"
"271","Baix Llobregat","5","Public","Educacio primaria",10,242,30,12.4,"Catalunya","5-Educacio primaria"
"272","Baix Llobregat","6","Privat","Educacio primaria",11,6,5,83.3,"Catalunya","6-Educacio primaria"
"273","Baix Llobregat","6","Public","Educacio primaria",11,281,41,14.6,"Catalunya","6-Educacio primaria"
"274","Baix Penedes","1","Privat","Educacio infantil 2n cicle",3,200,156,78,"Catalunya","1-Educacio infantil 2n cicle"
"275","Baix Penedes","1","Privat","Educacio primaria",6,32,14,43.8,"Catalunya","1-Educacio primaria"
"276","Baix Penedes","1","Privat","Educacio secundaria obligatoria",12,26,26,100,"Catalunya","1-Educacio secundaria obligatoria"
"277","Baix Penedes","1","Public","Educacio infantil 2n cicle",3,886,709,80,"Catalunya","1-Educacio infantil 2n cicle"
"278","Baix Penedes","1","Public","Educacio primaria",6,122,17,13.9,"Catalunya","1-Educacio primaria"
"279","Baix Penedes","1","Public","Educacio secundaria obligatoria",12,1046,962,92,"Catalunya","1-Educacio secundaria obligatoria"
"280","Baix Penedes","2","Privat","Educacio infantil 2n cicle",4,11,6,54.5,"Catalunya","2-Educacio infantil 2n cicle"
"281","Baix Penedes","2","Privat","Educacio primaria",7,22,8,36.4,"Catalunya","2-Educacio primaria"
"282","Baix Penedes","2","Privat","Educacio secundaria obligatoria",13,3,3,100,"Catalunya","2-Educacio secundaria obligatoria"
"283","Baix Penedes","2","Public","Educacio infantil 2n cicle",4,137,16,11.7,"Catalunya","2-Educacio infantil 2n cicle"
"284","Baix Penedes","2","Public","Educacio primaria",7,98,15,15.3,"Catalunya","2-Educacio primaria"
"285","Baix Penedes","2","Public","Educacio secundaria obligatoria",13,32,5,15.6,"Catalunya","2-Educacio secundaria obligatoria"
"286","Baix Penedes","3","Privat","Educacio infantil 2n cicle",5,6,5,83.3,"Catalunya","3-Educacio infantil 2n cicle"
"287","Baix Penedes","3","Privat","Educacio primaria",8,6,6,100,"Catalunya","3-Educacio primaria"
"288","Baix Penedes","3","Privat","Educacio secundaria obligatoria",14,4,4,100,"Catalunya","3-Educacio secundaria obligatoria"
"289","Baix Penedes","3","Public","Educacio infantil 2n cicle",5,101,22,21.8,"Catalunya","3-Educacio infantil 2n cicle"
"290","Baix Penedes","3","Public","Educacio primaria",8,126,13,10.3,"Catalunya","3-Educacio primaria"
"291","Baix Penedes","3","Public","Educacio secundaria obligatoria",14,0,0,NA,"Catalunya","3-Educacio secundaria obligatoria"
"292","Baix Penedes","4","Privat","Educacio primaria",9,4,4,100,"Catalunya","4-Educacio primaria"
"293","Baix Penedes","4","Privat","Educacio secundaria obligatoria",15,15,3,20,"Catalunya","4-Educacio secundaria obligatoria"
"294","Baix Penedes","4","Public","Educacio primaria",9,125,6,4.8,"Catalunya","4-Educacio primaria"
"295","Baix Penedes","4","Public","Educacio secundaria obligatoria",15,1,1,100,"Catalunya","4-Educacio secundaria obligatoria"
"296","Baix Penedes","5","Privat","Educacio primaria",10,19,11,57.9,"Catalunya","5-Educacio primaria"
"297","Baix Penedes","5","Public","Educacio primaria",10,128,6,4.7,"Catalunya","5-Educacio primaria"
"298","Baix Penedes","6","Privat","Educacio primaria",11,6,6,100,"Catalunya","6-Educacio primaria"
"299","Baix Penedes","6","Public","Educacio primaria",11,162,8,4.9,"Catalunya","6-Educacio primaria"
"300","Barcelones","1","Privat","Educacio infantil 2n cicle",3,9906,7469,75.4,"Catalunya","1-Educacio infantil 2n cicle"
"301","Barcelones","1","Privat","Educacio primaria",6,1216,560,46.1,"Catalunya","1-Educacio primaria"
"302","Barcelones","1","Privat","Educacio secundaria obligatoria",12,2866,2203,76.9,"Catalunya","1-Educacio secundaria obligatoria"
"303","Barcelones","1","Public","Educacio infantil 2n cicle",3,10167,8486,83.5,"Catalunya","1-Educacio infantil 2n cicle"
"304","Barcelones","1","Public","Educacio primaria",6,266,103,38.7,"Catalunya","1-Educacio primaria"
"305","Barcelones","1","Public","Educacio secundaria obligatoria",12,8839,7638,86.4,"Catalunya","1-Educacio secundaria obligatoria"
"306","Barcelones","2","Privat","Educacio infantil 2n cicle",4,955,153,16,"Catalunya","2-Educacio infantil 2n cicle"
"307","Barcelones","2","Privat","Educacio primaria",7,690,140,20.3,"Catalunya","2-Educacio primaria"
"308","Barcelones","2","Privat","Educacio secundaria obligatoria",13,520,114,21.9,"Catalunya","2-Educacio secundaria obligatoria"
"309","Barcelones","2","Public","Educacio infantil 2n cicle",4,425,119,28,"Catalunya","2-Educacio infantil 2n cicle"
"310","Barcelones","2","Public","Educacio primaria",7,237,65,27.4,"Catalunya","2-Educacio primaria"
"311","Barcelones","2","Public","Educacio secundaria obligatoria",13,201,83,41.3,"Catalunya","2-Educacio secundaria obligatoria"
"312","Barcelones","3","Privat","Educacio infantil 2n cicle",5,738,160,21.7,"Catalunya","3-Educacio infantil 2n cicle"
"313","Barcelones","3","Privat","Educacio primaria",8,428,112,26.2,"Catalunya","3-Educacio primaria"
"314","Barcelones","3","Privat","Educacio secundaria obligatoria",14,515,200,38.8,"Catalunya","3-Educacio secundaria obligatoria"
"315","Barcelones","3","Public","Educacio infantil 2n cicle",5,272,83,30.5,"Catalunya","3-Educacio infantil 2n cicle"
"316","Barcelones","3","Public","Educacio primaria",8,236,65,27.5,"Catalunya","3-Educacio primaria"
"317","Barcelones","3","Public","Educacio secundaria obligatoria",14,94,66,70.2,"Catalunya","3-Educacio secundaria obligatoria"
"318","Barcelones","4","Privat","Educacio primaria",9,321,108,33.6,"Catalunya","4-Educacio primaria"
"319","Barcelones","4","Privat","Educacio secundaria obligatoria",15,393,164,41.7,"Catalunya","4-Educacio secundaria obligatoria"
"320","Barcelones","4","Public","Educacio primaria",9,256,80,31.2,"Catalunya","4-Educacio primaria"
"321","Barcelones","4","Public","Educacio secundaria obligatoria",15,171,88,51.5,"Catalunya","4-Educacio secundaria obligatoria"
"322","Barcelones","5","Privat","Educacio primaria",10,286,97,33.9,"Catalunya","5-Educacio primaria"
"323","Barcelones","5","Public","Educacio primaria",10,134,43,32.1,"Catalunya","5-Educacio primaria"
"324","Barcelones","6","Privat","Educacio primaria",11,173,56,32.4,"Catalunya","6-Educacio primaria"
"325","Barcelones","6","Public","Educacio primaria",11,183,38,20.8,"Catalunya","6-Educacio primaria"
"326","Bergueda","1","Privat","Educacio infantil 2n cicle",3,125,73,58.4,"Catalunya","1-Educacio infantil 2n cicle"
"327","Bergueda","1","Privat","Educacio primaria",6,18,2,11.1,"Catalunya","1-Educacio primaria"
"328","Bergueda","1","Privat","Educacio secundaria obligatoria",12,63,41,65.1,"Catalunya","1-Educacio secundaria obligatoria"
"329","Bergueda","1","Public","Educacio infantil 2n cicle",3,330,197,59.7,"Catalunya","1-Educacio infantil 2n cicle"
"330","Bergueda","1","Public","Educacio primaria",6,70,5,7.1,"Catalunya","1-Educacio primaria"
"331","Bergueda","1","Public","Educacio secundaria obligatoria",12,343,296,86.3,"Catalunya","1-Educacio secundaria obligatoria"
"332","Bergueda","2","Privat","Educacio infantil 2n cicle",4,10,2,20,"Catalunya","2-Educacio infantil 2n cicle"
"333","Bergueda","2","Privat","Educacio primaria",7,11,0,0,"Catalunya","2-Educacio primaria"
"334","Bergueda","2","Privat","Educacio secundaria obligatoria",13,6,1,16.7,"Catalunya","2-Educacio secundaria obligatoria"
"335","Bergueda","2","Public","Educacio infantil 2n cicle",4,38,2,5.3,"Catalunya","2-Educacio infantil 2n cicle"
"336","Bergueda","2","Public","Educacio primaria",7,74,1,1.4,"Catalunya","2-Educacio primaria"
"337","Bergueda","2","Public","Educacio secundaria obligatoria",13,41,2,4.9,"Catalunya","2-Educacio secundaria obligatoria"
"338","Bergueda","3","Privat","Educacio infantil 2n cicle",5,23,0,0,"Catalunya","3-Educacio infantil 2n cicle"
"339","Bergueda","3","Privat","Educacio primaria",8,19,4,21.1,"Catalunya","3-Educacio primaria"
"340","Bergueda","3","Privat","Educacio secundaria obligatoria",14,22,1,4.5,"Catalunya","3-Educacio secundaria obligatoria"
"341","Bergueda","3","Public","Educacio infantil 2n cicle",5,70,7,10,"Catalunya","3-Educacio infantil 2n cicle"
"342","Bergueda","3","Public","Educacio primaria",8,75,4,5.3,"Catalunya","3-Educacio primaria"
