"","curs","Any","codi_centre","nom_complet","codi_naturalesa","nom_naturalesa","codi_titularitat","nom_titularitat","codi_delegacio","nom_delegacio","codi_comarca","nom_comarca","codi_municipi","codi_municipi_6","nom_municipi","codi_districte_minicial","nom_dm","UTM_X","UTM_Y","nom_ensenyament","nivell","nom_grups","mixt","nombre_places","places_ofertades","assignacions","assig_1a","assig_altres","georeferencia","edat","num_dona","num_home","num_total","lng","lat","% ocupades","% infants del municipi"
"110","2020/2021","2020","8005412","Lleo XIII","2","Privat","26","Societats Mercantils","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","5","Sarria - Sant Gervasi","427881.088","4584907.74","Educacio secundaria obligatoria","1","2","FALSE",60,33,14,23,9,"(41.41248531, 2.13708004)",12,6615,7082,13697,"2.13708004","41.412485311",23.3,100
"111","2020/2021","2020","8011941","Escola Pia Balmes","2","Privat","24","Ordes i Congregacions Catolics","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","5","Sarria - Sant Gervasi","427541.818","4585277.41","Educacio secundaria obligatoria","1","3","FALSE",90,15,12,15,3,"(41.41578425, 2.132976757)",12,6615,7082,13697,"2.151861941","41.397799729",13.3,100
"112","2020/2021","2020","8021594","Institut de Mollet del Valles","1","Public","1","Departament d'Ensenyament","508","Maresme-Valles Oriental","41","Valles Oriental","08124","81249","Mollet del Valles","0","0","432187.19","4593308.692","Educacio secundaria obligatoria","1","3","FALSE",81,77,55,69,14,"(41.48852441, 2.18765505)",12,280,316,596,"2.206963663","41.531903917",67.9,100
"113","2020/2021","2020","8017384","Sagrada Familia","2","Privat","24","Ordes i Congregacions Catolics","308","Baix Llobregat","11","Baix Llobregat","08089","80898","Gava","0","0","415697.727","4573646.899","Educacio secundaria obligatoria","1","3","FALSE",90,12,7,12,5,"(41.30988149, 1.992888235)",12,257,287,544,"1.995597789","41.310822777",7.8,100
"114","2020/2021","2020","8009995","Regina Carmeli","2","Privat","24","Ordes i Congregacions Catolics","108","Consorci d'Educacio de Barcelona","13","Barcelones","08019","80193","Barcelona","7","Horta - Guinardo","429718.145","4584142.27","Educacio secundaria obligatoria","1","2","FALSE",64,12,4,8,4,"(41.40575376, 2.159147469)",12,6615,7082,13697,"2.15851469","41.434598248",6.2,100
"115","2020/2021","2020","8024340","Salesians Sabadell","2","Privat","24","Ordes i Congregacions Catolics","408","Valles Occidental","40","Valles Occident","08187","81878","Sabadell","1","Sabadell 1","426533.167","4597859.242","Educacio secundaria obligatoria","1","2","FALSE",60,7,5,6,1,"(41.5290101, 2.119376373)",12,1235,1261,2496,"2.118234671","41.539892027",8.3,100
"116","2020/2021","2020","8000761","Badalones","2","Privat","26","Societats Mercantils","208","Barcelona Comarques","13","Barcelones","08015","80155","Badalona","0","0","437023.682","4588699.789","Educacio secundaria obligatoria","1","3","FALSE",90,12,12,12,0,"(41.44740788, 2.246068553)",12,1179,1307,2486,"2.246068553","41.447407876",13.3,100
"117","2020/2021","2020","8021028","Sagrat Cor de Jesus","2","Privat","24","Ordes i Congregacions Catolics","508","Maresme-Valles Oriental","21","Maresme","08121","81213","Mataro","0","0","453674.343","4598871.825","Educacio secundaria obligatoria","1","1","FALSE",30,2,2,2,0,"(41.54016146, 2.44461204)",12,738,748,1486,"2.44723215","41.541676321",6.7,100
"118","2020/2021","2020","8024728","Servator","2","Privat","26","Societats Mercantils","408","Valles Occidental","40","Valles Occident","08187","81878","Sabadell","2","Sabadell 2","423702.907","4599964.008","Educacio secundaria obligatoria","1","1","FALSE",30,4,4,4,0,"(41.54770136, 2.085187915)",12,1235,1261,2496,"2.103070794","41.559712767",13.3,100
"119","2020/2021","2020","8023131","Institut Baldiri Guilera","1","Public","1","Departament d'Ensenyament","308","Baix Llobregat","11","Baix Llobregat","08169","81691","El Prat de Llobregat","0","0","446271.873","4593440.369","Educacio secundaria obligatoria","1","4","FALSE",108,108,108,108,0,"(41.49077826, 2.356355336)",12,328,338,666,"2.089671524","41.323073087",100,100
"120","2020/2021","2020","8019915","Vedruna Malgrat de Mar","2","Privat","22","Fundacions","508","Maresme-Valles Oriental","21","Maresme","08110","81108","Malgrat de Mar","0","0","400708.334","4618609.52","Educacio secundaria obligatoria","1","2","FALSE",60,14,11,13,2,"(41.71308616, 1.806437125)",12,107,97,204,"2.742380599","41.645271087",18.3,100
"121","2020/2021","2020","8023323","El Pilar","2","Privat","26","Societats Mercantils","508","Maresme-Valles Oriental","21","Maresme","08172","81727","Premia de Mar","0","0","429987.79","4594597.949","Educacio secundaria obligatoria","1","1","FALSE",30,2,2,2,0,"(41.499947, 2.161160801)",12,143,136,279,"2.355990768","41.493610782",6.7,100
"122","2020/2021","2020","8000921","Arrels-Esperanca","2","Privat","22","Fundacions","208","Barcelona Comarques","13","Barcelones","08015","80155","Badalona","0","0","435216.459","4587780.529","Educacio secundaria obligatoria","1","3","FALSE",90,0,0,0,0,"(41.43898455, 2.224533537)",12,1179,1307,2486,"2.224533537","41.438984545",0,100
"123","2020/2021","2020","8025769","Cor de Maria","2","Privat","22","Fundacions","508","Maresme-Valles Oriental","41","Valles Oriental","08202","82021","Sant Celoni","0","0","423390.859","4591088.066","Educacio secundaria obligatoria","1","1","FALSE",30,0,1,1,0,"(41.46773229, 2.082576158)",12,95,97,192,"2.488269536","41.689936993",3.3,100
